D,train_accuracy,valid_accuracy,test_accuracy,train_macro_f1,valid_macro_f1,test_macro_f1,explained_variance
32,0.8001949317738791,0.7391304347826086,0.8372641509433962,0.6885012571817427,0.639786766430033,0.6240633545762021,0.76762104
64,0.8573749187784275,0.7880434782608695,0.9009433962264151,0.7847780407266569,0.7123694799402424,0.8220367493618531,0.8326223
128,0.9207277452891488,0.845108695652174,0.960691823899371,0.8714348961066852,0.7828834943154357,0.9147233430053864,0.89061517
256,0.9497238466536713,0.8899456521739131,0.9764150943396226,0.9134663124198104,0.8303228995628628,0.9709218551500884,0.9398913
512,0.9637751786874594,0.904891304347826,0.9811320754716981,0.9362019216381744,0.84018994862285,0.9788749128683153,0.97695357
768,0.9676738141650423,0.907608695652174,0.9827044025157232,0.9420386477240772,0.8471809053596501,0.9798381341626127,0.99101806
1024,0.9703541260558805,0.907608695652174,0.9827044025157232,0.9456796817696661,0.8472127135198171,0.9799000964143216,0.99728966
1280,0.9709226770630279,0.9089673913043478,0.9827044025157232,0.9455867355426061,0.848047851437855,0.9799000964143216,0.9999994
