target,holdout,D,train_accuracy,valid_accuracy,test_accuracy,train_macro_f1,valid_macro_f1,test_macro_f1,test_balanced_accuracy,explained_variance,classification_valid,unseen_test_classes
class_label,family_holdout,32,0.8003573749187785,0.7391304347826086,0.8388364779874213,0.6874746553002062,0.6394871861060263,0.6255633953651802,0.6227838067589188,0.76713604,True,0
class_label,family_holdout,64,0.8571312540610786,0.7866847826086957,0.9009433962264151,0.7846530769476876,0.7116292874902054,0.8220367493618531,0.7908193337174669,0.83210516,True,0
class_label,family_holdout,128,0.9207277452891488,0.8464673913043478,0.9599056603773585,0.8707561970958332,0.7836927546891151,0.9142429247916227,0.8861601487573886,0.8901831,True,0
class_label,family_holdout,256,0.9498862897985705,0.8899456521739131,0.9764150943396226,0.9135623620688517,0.8302145334429731,0.9709218551500884,0.9597487638920342,0.9395798,True,0
class_label,family_holdout,512,0.9636939571150097,0.9035326086956522,0.9811320754716981,0.9361460378095504,0.8393714539056153,0.9788749128683153,0.971192728492258,0.9767876,True,0
class_label,family_holdout,768,0.9678362573099415,0.907608695652174,0.9827044025157232,0.9432713939723835,0.8471479237830405,0.9798381341626127,0.972110869835174,0.9909389,True,0
class_label,family_holdout,1024,0.9705165692007798,0.907608695652174,0.9827044025157232,0.9458433723014685,0.8472127135198171,0.9799000964143216,0.9723001482043289,0.99726164,True,0
class_label,family_holdout,1280,0.9712475633528265,0.90625,0.9827044025157232,0.9466635710595233,0.846342462838952,0.9799000964143216,0.9723001482043289,0.9999999,True,0
class_label,superfamily_holdout,32,0.8003573749187785,0.7391304347826086,0.7472089314194578,0.6874746553002062,0.6394871861060263,0.6378661614617649,0.633388508666472,0.76713604,True,0
class_label,superfamily_holdout,64,0.8571312540610786,0.7866847826086957,0.7814992025518341,0.7846530769476876,0.7116292874902054,0.6879539781090626,0.6683314731662108,0.83210516,True,0
class_label,superfamily_holdout,128,0.9207277452891488,0.8464673913043478,0.8556618819776715,0.8707561970958332,0.7836927546891151,0.761816498964139,0.7321699453618147,0.8901831,True,0
class_label,superfamily_holdout,256,0.9498862897985705,0.8899456521739131,0.9027113237639554,0.9135623620688517,0.8302145334429731,0.8572197513827674,0.8215042101880771,0.9395798,True,0
class_label,superfamily_holdout,512,0.9636939571150097,0.9035326086956522,0.9218500797448166,0.9361460378095504,0.8393714539056153,0.8767790996081953,0.8385805684978435,0.9767876,True,0
class_label,superfamily_holdout,768,0.9678362573099415,0.907608695652174,0.9250398724082934,0.9432713939723835,0.8471479237830405,0.88180747567396,0.8533686387779115,0.9909389,True,0
class_label,superfamily_holdout,1024,0.9705165692007798,0.907608695652174,0.9266347687400319,0.9458433723014685,0.8472127135198171,0.8828924685130285,0.8543210197302924,0.99726164,True,0
class_label,superfamily_holdout,1280,0.9712475633528265,0.90625,0.9282296650717703,0.9466635710595233,0.846342462838952,0.8717741099106132,0.8378453525403395,0.9999999,True,0
class_label,fold_holdout,32,0.8003573749187785,0.7391304347826086,0.7855153203342619,0.6874746553002062,0.6394871861060263,0.7690878859721949,0.7520740999356693,0.76713604,True,0
class_label,fold_holdout,64,0.8571312540610786,0.7866847826086957,0.8105849582172702,0.7846530769476876,0.7116292874902054,0.6997427657184963,0.8196066855456311,0.83210516,True,0
class_label,fold_holdout,128,0.9207277452891488,0.8464673913043478,0.8662952646239555,0.8707561970958332,0.7836927546891151,0.7440393202708935,0.8728424791017528,0.8901831,True,0
class_label,fold_holdout,256,0.9498862897985705,0.8899456521739131,0.8774373259052924,0.9135623620688517,0.8302145334429731,0.7538833724221015,0.8806033244618825,0.9395798,True,0
class_label,fold_holdout,512,0.9636939571150097,0.9035326086956522,0.8871866295264624,0.9361460378095504,0.8393714539056153,0.8826985244023873,0.8838071835660646,0.9767876,True,0
class_label,fold_holdout,768,0.9678362573099415,0.907608695652174,0.8899721448467967,0.9432713939723835,0.8471479237830405,0.7601867856955229,0.8857131831328829,0.9909389,True,0
class_label,fold_holdout,1024,0.9705165692007798,0.907608695652174,0.8871866295264624,0.9458433723014685,0.8472127135198171,0.7583524385361214,0.8839440306589211,0.99726164,True,0
class_label,fold_holdout,1280,0.9712475633528265,0.90625,0.8871866295264624,0.9466635710595233,0.846342462838952,0.7599801810802995,0.8839587971679705,0.9999999,True,0
fold_label,family_holdout,32,0.5393924626380767,0.19293478260869565,0.6949685534591195,0.16123812118547903,0.08135014047755569,0.47457392307208884,0.4837214468677847,0.76713604,True,0
fold_label,family_holdout,64,0.7236029889538661,0.2866847826086957,0.85062893081761,0.28102522367609595,0.1463951840358224,0.6963915766707683,0.7108824720370456,0.83210516,True,0
fold_label,family_holdout,128,0.8460038986354775,0.39945652173913043,0.9520440251572327,0.39937303656855233,0.22436075067965908,0.8703369395453298,0.895187803907166,0.8901831,True,0
fold_label,family_holdout,256,0.8984730344379467,0.47690217391304346,0.9716981132075472,0.48865508887649095,0.3058900248857784,0.9251650660913936,0.9390460348755334,0.9395798,True,0
fold_label,family_holdout,512,0.9197530864197531,0.5081521739130435,0.97562893081761,0.5411520828737141,0.34467358228855566,0.9421810314615624,0.952608180107484,0.9767876,True,0
fold_label,family_holdout,768,0.9246263807667316,0.5122282608695652,0.9795597484276729,0.5592485239864372,0.34680850618977194,0.9497071698855231,0.960265817394751,0.9909389,True,0
fold_label,family_holdout,1024,0.9267381416504223,0.5163043478260869,0.9795597484276729,0.5657946314242027,0.34924044112591984,0.9497071698855231,0.960265817394751,0.99726164,True,0
fold_label,family_holdout,1280,0.9277128005198181,0.5163043478260869,0.9795597484276729,0.5682715307272753,0.35211397415361223,0.9497071698855231,0.960265817394751,0.9999999,True,0
fold_label,superfamily_holdout,32,0.5393924626380767,0.19293478260869565,0.19537480063795853,0.16123812118547903,0.08135014047755569,0.05788318119529496,0.07698313931879842,0.76713604,True,0
fold_label,superfamily_holdout,64,0.7236029889538661,0.2866847826086957,0.3149920255183413,0.28102522367609595,0.1463951840358224,0.11665045528942822,0.14035080883978523,0.83210516,True,0
