D,n_vectors,n_queries,dimension_scaled_operations,original_operations,relative_cost,cost_reduction_pct
512,100000000,1000,51200000000000,128000000000000,0.4,60.0
512,100000000,10000,512000000000000,1280000000000000,0.4,60.0
512,100000000,100000,5120000000000000,12800000000000000,0.4,60.0
512,100000000,1000000,51200000000000000,128000000000000000,0.4,60.0
768,10000,1000,7680000000,12800000000,0.6,40.0
768,10000,10000,76800000000,128000000000,0.6,40.0
768,10000,100000,768000000000,1280000000000,0.6,40.0
768,10000,1000000,7680000000000,12800000000000,0.6,40.0
768,100000,1000,76800000000,128000000000,0.6,40.0
768,100000,10000,768000000000,1280000000000,0.6,40.0
768,100000,100000,7680000000000,12800000000000,0.6,40.0
768,100000,1000000,76800000000000,128000000000000,0.6,40.0
768,1000000,1000,768000000000,1280000000000,0.6,40.0
768,1000000,10000,7680000000000,12800000000000,0.6,40.0
768,1000000,100000,76800000000000,128000000000000,0.6,40.0
768,1000000,1000000,768000000000000,1280000000000000,0.6,40.0
768,10000000,1000,7680000000000,12800000000000,0.6,40.0
768,10000000,10000,76800000000000,128000000000000,0.6,40.0
768,10000000,100000,768000000000000,1280000000000000,0.6,40.0
768,10000000,1000000,7680000000000000,12800000000000000,0.6,40.0
768,100000000,1000,76800000000000,128000000000000,0.6,40.0
768,100000000,10000,768000000000000,1280000000000000,0.6,40.0
768,100000000,100000,7680000000000000,12800000000000000,0.6,40.0
768,100000000,1000000,76800000000000000,128000000000000000,0.6,40.0
1024,10000,1000,10240000000,12800000000,0.8,19.999999999999996
1024,10000,10000,102400000000,128000000000,0.8,19.999999999999996
1024,10000,100000,1024000000000,1280000000000,0.8,19.999999999999996
1024,10000,1000000,10240000000000,12800000000000,0.8,19.999999999999996
1024,100000,1000,102400000000,128000000000,0.8,19.999999999999996
1024,100000,10000,1024000000000,1280000000000,0.8,19.999999999999996
1024,100000,100000,10240000000000,12800000000000,0.8,19.999999999999996
1024,100000,1000000,102400000000000,128000000000000,0.8,19.999999999999996
1024,1000000,1000,1024000000000,1280000000000,0.8,19.999999999999996
1024,1000000,10000,10240000000000,12800000000000,0.8,19.999999999999996
1024,1000000,100000,102400000000000,128000000000000,0.8,19.999999999999996
1024,1000000,1000000,1024000000000000,1280000000000000,0.8,19.999999999999996
1024,10000000,1000,10240000000000,12800000000000,0.8,19.999999999999996
1024,10000000,10000,102400000000000,128000000000000,0.8,19.999999999999996
1024,10000000,100000,1024000000000000,1280000000000000,0.8,19.999999999999996
1024,10000000,1000000,10240000000000000,12800000000000000,0.8,19.999999999999996
1024,100000000,1000,102400000000000,128000000000000,0.8,19.999999999999996
1024,100000000,10000,1024000000000000,1280000000000000,0.8,19.999999999999996
1024,100000000,100000,10240000000000000,12800000000000000,0.8,19.999999999999996
1024,100000000,1000000,102400000000000000,128000000000000000,0.8,19.999999999999996
1280,10000,1000,12800000000,12800000000,1.0,0.0
1280,10000,10000,128000000000,128000000000,1.0,0.0
1280,10000,100000,1280000000000,1280000000000,1.0,0.0
1280,10000,1000000,12800000000000,12800000000000,1.0,0.0
1280,100000,1000,128000000000,128000000000,1.0,0.0
1280,100000,10000,1280000000000,1280000000000,1.0,0.0
1280,100000,100000,12800000000000,12800000000000,1.0,0.0
1280,100000,1000000,128000000000000,128000000000000,1.0,0.0
1280,1000000,1000,1280000000000,1280000000000,1.0,0.0
1280,1000000,10000,12800000000000,12800000000000,1.0,0.0
1280,1000000,100000,128000000000000,128000000000000,1.0,0.0
1280,1000000,1000000,1280000000000000,1280000000000000,1.0,0.0
1280,10000000,1000,12800000000000,12800000000000,1.0,0.0
1280,10000000,10000,128000000000000,128000000000000,1.0,0.0
1280,10000000,100000,1280000000000000,1280000000000000,1.0,0.0
1280,10000000,1000000,12800000000000000,12800000000000000,1.0,0.0
1280,100000000,1000,128000000000000,128000000000000,1.0,0.0
1280,100000000,10000,1280000000000000,1280000000000000,1.0,0.0
1280,100000000,100000,12800000000000000,12800000000000000,1.0,0.0
1280,100000000,1000000,128000000000000000,128000000000000000,1.0,0.0
