target,holdout,metric,utility_threshold,baseline_D,baseline_metric,required_metric,minimum_D,achieved_metric,achieved_utility_retention,storage_reduction_pct,compression_ratio
class_label,family_holdout,test_accuracy,0.95,1280,0.9827044025157232,0.933569182389937,128,0.9599056603773585,0.9768,90.0,10.0
class_label,family_holdout,test_accuracy,0.99,1280,0.9827044025157232,0.972877358490566,256,0.9764150943396226,0.9936,80.0,5.0
class_label,family_holdout,test_accuracy,0.995,1280,0.9827044025157232,0.9777908805031446,512,0.9811320754716981,0.9984000000000001,60.0,2.5
class_label,family_holdout,test_macro_f1,0.95,1280,0.9799000964143216,0.9309050915936055,256,0.9709218551500884,0.9908375952843697,80.0,5.0
class_label,family_holdout,test_macro_f1,0.99,1280,0.9799000964143216,0.9701010954501784,256,0.9709218551500884,0.9908375952843697,80.0,5.0
class_label,family_holdout,test_macro_f1,0.995,1280,0.9799000964143216,0.97500059593225,512,0.9788749128683153,0.9989537876873799,60.0,2.5
class_label,family_holdout,test_balanced_accuracy,0.95,1280,0.9723001482043289,0.9236851407941123,256,0.9597487638920342,0.9870910393920284,80.0,5.0
class_label,family_holdout,test_balanced_accuracy,0.99,1280,0.9723001482043289,0.9625771467222856,512,0.971192728492258,0.9988610310158689,60.0,2.5
class_label,family_holdout,test_balanced_accuracy,0.995,1280,0.9723001482043289,0.9674386474633072,512,0.971192728492258,0.9988610310158689,60.0,2.5
class_label,superfamily_holdout,test_accuracy,0.95,1280,0.9282296650717703,0.8818181818181817,256,0.9027113237639554,0.9725085910652922,80.0,5.0
class_label,superfamily_holdout,test_accuracy,0.99,1280,0.9282296650717703,0.9189473684210526,512,0.9218500797448166,0.993127147766323,60.0,2.5
class_label,superfamily_holdout,test_accuracy,0.995,1280,0.9282296650717703,0.9235885167464114,768,0.9250398724082934,0.9965635738831615,40.0,1.6666666666666667
class_label,superfamily_holdout,test_macro_f1,0.95,1280,0.8717741099106132,0.8281854044150825,256,0.8572197513827674,0.983304897034235,80.0,5.0
class_label,superfamily_holdout,test_macro_f1,0.99,1280,0.8717741099106132,0.863056368811507,512,0.8767790996081953,1.0057411543204642,60.0,2.5
