target,holdout,best_D_by_accuracy,test_accuracy,test_macro_f1,test_balanced_accuracy,explained_variance
class_label,family_holdout,768,0.9827044025157232,0.9798381341626127,0.972110869835174,0.9909389
class_label,fold_holdout,768,0.8899721448467967,0.7601867856955229,0.8857131831328829,0.9909389
class_label,superfamily_holdout,1280,0.9282296650717703,0.8717741099106132,0.8378453525403395,0.9999999
family_label,family_holdout,1024,0.9622641509433962,0.9146160503368532,0.9373981676883395,0.99726164
fold_label,family_holdout,768,0.9795597484276729,0.9497071698855231,0.960265817394751,0.9909389
fold_label,fold_holdout,1024,0.3161559888579387,0.128590138072371,0.17778000186088422,0.99726164
fold_label,superfamily_holdout,1280,0.6196172248803827,0.3492276981412721,0.38718800619817023,0.9999999
superfamily_label,family_holdout,768,0.9787735849056604,0.9430309214521875,0.9626694649491002,0.9909389
superfamily_label,superfamily_holdout,1280,0.5773524720893142,0.35890545104549487,0.42192482816146387,0.9999999
