target,holdout,D,train_accuracy,valid_accuracy,test_accuracy,train_macro_f1,valid_macro_f1,test_macro_f1,test_balanced_accuracy,explained_variance,classification_valid,unseen_test_classes,bytes_per_vector,KB_per_vector,original_bytes_per_vector,dimension_reduction_pct,compression_ratio,relative_memory_cost,relative_compute_cost,compute_reduction_pct,relative_similarity_cost,relative_transfer_cost,storage_10000_GB,storage_10000_TB,storage_saved_10000_GB,storage_saved_10000_TB,storage_100000_GB,storage_100000_TB,storage_saved_100000_GB,storage_saved_100000_TB,storage_1000000_GB,storage_1000000_TB,storage_saved_1000000_GB,storage_saved_1000000_TB,storage_10000000_GB,storage_10000000_TB,storage_saved_10000000_GB,storage_saved_10000000_TB,storage_100000000_GB,storage_100000000_TB,storage_saved_100000000_GB,storage_saved_100000000_TB,normalized_storage_cost,normalized_memory_cost,normalized_compute_cost,normalized_similarity_cost,normalized_transfer_cost,normalized_total_cost_index,total_cost_reduction_pct,test_accuracy_baseline,test_accuracy_retention,test_macro_f1_baseline,test_macro_f1_retention,test_balanced_accuracy_baseline,test_balanced_accuracy_retention
class_label,fold_holdout,512,0.9636939571150097,0.9035326086956522,0.8871866295264624,0.9361460378095504,0.8393714539056153,0.8826985244023873,0.8838071835660646,0.9767876,True,0,2048,2.048,5120,60.0,2.5,0.4,0.4,60.0,0.4,0.4,0.02048,2.048e-05,0.03072,3.072e-05,0.2048,0.0002048,0.3072,0.0003072,2.048,0.002048,3.072,0.003072,20.48,0.02048,30.72,0.03072,204.8,0.2048,307.2,0.3072,0.4,0.4,0.4,0.4,0.4,0.4,60.0,0.8871866295264624,1.0,0.7599801810802995,1.1614757152583184,0.8839587971679705,0.9998284834062496
class_label,fold_holdout,768,0.9678362573099415,0.907608695652174,0.8899721448467967,0.9432713939723835,0.8471479237830405,0.7601867856955229,0.8857131831328829,0.9909389,True,0,3072,3.072,5120,40.0,1.6666666666666667,0.6,0.6,40.0,0.6,0.6,0.03072,3.072e-05,0.02048,2.048e-05,0.3072,0.0003072,0.2048,0.0002048,3.072,0.003072,2.048,0.002048,30.72,0.03072,20.48,0.02048,307.2,0.3072,204.8,0.2048,0.6,0.6,0.6,0.6,0.6,0.6,40.0,0.8871866295264624,1.0031397174254317,0.7599801810802995,1.0002718552672383,0.8839587971679705,1.0019846920133983
class_label,fold_holdout,1024,0.9705165692007798,0.907608695652174,0.8871866295264624,0.9458433723014685,0.8472127135198171,0.7583524385361214,0.8839440306589211,0.99726164,True,0,4096,4.096,5120,19.999999999999996,1.25,0.8,0.8,19.999999999999996,0.8,0.8,0.04096,4.096e-05,0.01024,1.024e-05,0.4096,0.0004096,0.1024,0.0001024,4.096,0.004096,1.024,0.001024,40.96,0.04096,10.24,0.01024,409.6,0.4096,102.4,0.1024,0.8,0.8,0.8,0.8,0.8,0.8,19.999999999999996,0.8871866295264624,1.0,0.7599801810802995,0.9978581776410744,0.8839587971679705,0.9999832950256315
class_label,fold_holdout,1280,0.9712475633528265,0.90625,0.8871866295264624,0.9466635710595233,0.846342462838952,0.7599801810802995,0.8839587971679705,0.9999999,True,0,5120,5.12,5120,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0512,5.12e-05,0.0,0.0,0.512,0.000512,0.0,0.0,5.12,0.00512,0.0,0.0,51.2,0.0512,0.0,0.0,512.0,0.512,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8871866295264624,1.0,0.7599801810802995,1.0,0.8839587971679705,1.0
fold_label,family_holdout,32,0.5393924626380767,0.19293478260869565,0.6949685534591195,0.16123812118547903,0.08135014047755569,0.47457392307208884,0.4837214468677847,0.76713604,True,0,128,0.128,5120,97.5,40.0,0.025,0.025,97.5,0.025,0.025,0.00128,1.28e-06,0.04992,4.992e-05,0.0128,1.28e-05,0.4992,0.0004992,0.128,0.000128,4.992,0.004992,1.28,0.00128,49.92,0.04992,12.8,0.0128,499.2,0.4992,0.025,0.025,0.025,0.025,0.025,0.025,97.5,0.9795597484276729,0.7094703049759229,0.9497071698855231,0.4997055283148948,0.960265817394751,0.5037370258374343
fold_label,family_holdout,64,0.7236029889538661,0.2866847826086957,0.85062893081761,0.28102522367609595,0.1463951840358224,0.6963915766707683,0.7108824720370456,0.83210516,True,0,256,0.256,5120,95.0,20.0,0.05,0.05,95.0,0.05,0.05,0.00256,2.56e-06,0.04864,4.864e-05,0.0256,2.56e-05,0.4864,0.0004864,0.256,0.000256,4.864,0.004864,2.56,0.00256,48.64,0.04864,25.6,0.0256,486.4,0.4864,0.05,0.05,0.05,0.05,0.05,0.05,95.0,0.9795597484276729,0.8683788121990369,0.9497071698855231,0.7332697896286398,0.960265817394751,0.740297591729033
fold_label,family_holdout,128,0.8460038986354775,0.39945652173913043,0.9520440251572327,0.39937303656855233,0.22436075067965908,0.8703369395453298,0.895187803907166,0.8901831,True,0,512,0.512,5120,90.0,10.0,0.1,0.1,90.0,0.1,0.1,0.00512,5.12e-06,0.04608,4.608e-05,0.0512,5.12e-05,0.4608,0.0004608,0.512,0.000512,4.608,0.004608,5.12,0.00512,46.08,0.04608,51.2,0.0512,460.8,0.4608,0.1,0.1,0.1,0.1,0.1,0.1,90.0,0.9795597484276729,0.9719101123595506,0.9497071698855231,0.9164266282734703,0.960265817394751,0.9322291678942141
fold_label,family_holdout,256,0.8984730344379467,0.47690217391304346,0.9716981132075472,0.48865508887649095,0.3058900248857784,0.9251650660913936,0.9390460348755334,0.9395798,True,0,1024,1.024,5120,80.0,5.0,0.2,0.2,80.0,0.2,0.2,0.01024,1.024e-05,0.04096,4.096e-05,0.1024,0.0001024,0.4096,0.0004096,1.024,0.001024,4.096,0.004096,10.24,0.01024,40.96,0.04096,102.4,0.1024,409.6,0.4096,0.2,0.2,0.2,0.2,0.2,0.2,80.0,0.9795597484276729,0.9919743178170145,0.9497071698855231,0.9741582410111869,0.960265817394751,0.9779021786105143
fold_label,family_holdout,512,0.9197530864197531,0.5081521739130435,0.97562893081761,0.5411520828737141,0.34467358228855566,0.9421810314615624,0.952608180107484,0.9767876,True,0,2048,2.048,5120,60.0,2.5,0.4,0.4,60.0,0.4,0.4,0.02048,2.048e-05,0.03072,3.072e-05,0.2048,0.0002048,0.3072,0.0003072,2.048,0.002048,3.072,0.003072,20.48,0.02048,30.72,0.03072,204.8,0.2048,307.2,0.3072,0.4,0.4,0.4,0.4,0.4,0.4,60.0,0.9795597484276729,0.9959871589085072,0.9497071698855231,0.9920753063021859,0.960265817394751,0.9920255025758987
fold_label,family_holdout,768,0.9246263807667316,0.5122282608695652,0.9795597484276729,0.5592485239864372,0.34680850618977194,0.9497071698855231,0.960265817394751,0.9909389,True,0,3072,3.072,5120,40.0,1.6666666666666667,0.6,0.6,40.0,0.6,0.6,0.03072,3.072e-05,0.02048,2.048e-05,0.3072,0.0003072,0.2048,0.0002048,3.072,0.003072,2.048,0.002048,30.72,0.03072,20.48,0.02048,307.2,0.3072,204.8,0.2048,0.6,0.6,0.6,0.6,0.6,0.6,40.0,0.9795597484276729,1.0,0.9497071698855231,1.0,0.960265817394751,1.0
fold_label,family_holdout,1024,0.9267381416504223,0.5163043478260869,0.9795597484276729,0.5657946314242027,0.34924044112591984,0.9497071698855231,0.960265817394751,0.99726164,True,0,4096,4.096,5120,19.999999999999996,1.25,0.8,0.8,19.999999999999996,0.8,0.8,0.04096,4.096e-05,0.01024,1.024e-05,0.4096,0.0004096,0.1024,0.0001024,4.096,0.004096,1.024,0.001024,40.96,0.04096,10.24,0.01024,409.6,0.4096,102.4,0.1024,0.8,0.8,0.8,0.8,0.8,0.8,19.999999999999996,0.9795597484276729,1.0,0.9497071698855231,1.0,0.960265817394751,1.0
fold_label,family_holdout,1280,0.9277128005198181,0.5163043478260869,0.9795597484276729,0.5682715307272753,0.35211397415361223,0.9497071698855231,0.960265817394751,0.9999999,True,0,5120,5.12,5120,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0512,5.12e-05,0.0,0.0,0.512,0.000512,0.0,0.0,5.12,0.00512,0.0,0.0,51.2,0.0512,0.0,0.0,512.0,0.512,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9795597484276729,1.0,0.9497071698855231,1.0,0.960265817394751,1.0
fold_label,superfamily_holdout,32,0.5393924626380767,0.19293478260869565,0.19537480063795853,0.16123812118547903,0.08135014047755569,0.05788318119529496,0.07698313931879842,0.76713604,True,0,128,0.128,5120,97.5,40.0,0.025,0.025,97.5,0.025,0.025,0.00128,1.28e-06,0.04992,4.992e-05,0.0128,1.28e-05,0.4992,0.0004992,0.128,0.000128,4.992,0.004992,1.28,0.00128,49.92,0.04992,12.8,0.0128,499.2,0.4992,0.025,0.025,0.025,0.025,0.025,0.025,97.5,0.6196172248803827,0.3153153153153153,0.3492276981412721,0.16574624951964617,0.38718800619817023,0.19882625000371779
fold_label,superfamily_holdout,64,0.7236029889538661,0.2866847826086957,0.3149920255183413,0.28102522367609595,0.1463951840358224,0.11665045528942822,0.14035080883978523,0.83210516,True,0,256,0.256,5120,95.0,20.0,0.05,0.05,95.0,0.05,0.05,0.00256,2.56e-06,0.04864,4.864e-05,0.0256,2.56e-05,0.4864,0.0004864,0.256,0.000256,4.864,0.004864,2.56,0.00256,48.64,0.04864,25.6,0.0256,486.4,0.4864,0.05,0.05,0.05,0.05,0.05,0.05,95.0,0.6196172248803827,0.5083655083655084,0.3492276981412721,0.33402406484447844,0.38718800619817023,0.36248749081331566
fold_label,superfamily_holdout,128,0.8460038986354775,0.39945652173913043,0.46730462519936206,0.39937303656855233,0.22436075067965908,0.2016724685977729,0.23745215279649498,0.8901831,True,0,512,0.512,5120,90.0,10.0,0.1,0.1,90.0,0.1,0.1,0.00512,5.12e-06,0.04608,4.608e-05,0.0512,5.12e-05,0.4608,0.0004608,0.512,0.000512,4.608,0.004608,5.12,0.00512,46.08,0.04608,51.2,0.0512,460.8,0.4608,0.1,0.1,0.1,0.1,0.1,0.1,90.0,0.6196172248803827,0.7541827541827543,0.3492276981412721,0.5774813099623929,0.38718800619817023,0.6132735234442216
fold_label,superfamily_holdout,256,0.8984730344379467,0.47690217391304346,0.569377990430622,0.48865508887649095,0.3058900248857784,0.2825916160578206,0.3200608120474322,0.9395798,True,0,1024,1.024,5120,80.0,5.0,0.2,0.2,80.0,0.2,0.2,0.01024,1.024e-05,0.04096,4.096e-05,0.1024,0.0001024,0.4096,0.0004096,1.024,0.001024,4.096,0.004096,10.24,0.01024,40.96,0.04096,102.4,0.1024,409.6,0.4096,0.2,0.2,0.2,0.2,0.2,0.2,80.0,0.6196172248803827,0.918918918918919,0.3492276981412721,0.809190157487178,0.38718800619817023,0.8266289423325239
fold_label,superfamily_holdout,512,0.9197530864197531,0.5081521739130435,0.6076555023923444,0.5411520828737141,0.34467358228855566,0.3331360322397226,0.3705622032427657,0.9767876,True,0,2048,2.048,5120,60.0,2.5,0.4,0.4,60.0,0.4,0.4,0.02048,2.048e-05,0.03072,3.072e-05,0.2048,0.0002048,0.3072,0.0003072,2.048,0.002048,3.072,0.003072,20.48,0.02048,30.72,0.03072,204.8,0.2048,307.2,0.3072,0.4,0.4,0.4,0.4,0.4,0.4,60.0,0.6196172248803827,0.9806949806949807,0.3492276981412721,0.9539221373699861,0.38718800619817023,0.957060129215637
fold_label,superfamily_holdout,768,0.9246263807667316,0.5122282608695652,0.6172248803827751,0.5592485239864372,0.34680850618977194,0.3465635346335575,0.3848650529083661,0.9909389,True,0,3072,3.072,5120,40.0,1.6666666666666667,0.6,0.6,40.0,0.6,0.6,0.03072,3.072e-05,0.02048,2.048e-05,0.3072,0.0003072,0.2048,0.0002048,3.072,0.003072,2.048,0.002048,30.72,0.03072,20.48,0.02048,307.2,0.3072,204.8,0.2048,0.6,0.6,0.6,0.6,0.6,0.6,40.0,0.6196172248803827,0.9961389961389963,0.3492276981412721,0.992371270887463,0.38718800619817023,0.994000451324375
fold_label,superfamily_holdout,1024,0.9267381416504223,0.5163043478260869,0.6188197767145136,0.5657946314242027,0.34924044112591984,0.3490237166462938,0.38688106942714506,0.99726164,True,0,4096,4.096,5120,19.999999999999996,1.25,0.8,0.8,19.999999999999996,0.8,0.8,0.04096,4.096e-05,0.01024,1.024e-05,0.4096,0.0004096,0.1024,0.0001024,4.096,0.004096,1.024,0.001024,40.96,0.04096,10.24,0.01024,409.6,0.4096,102.4,0.1024,0.8,0.8,0.8,0.8,0.8,0.8,19.999999999999996,0.6196172248803827,0.9987129987129989,0.3492276981412721,0.9994159068823465,0.38718800619817023,0.9992072668416592
fold_label,superfamily_holdout,1280,0.9277128005198181,0.5163043478260869,0.6196172248803827,0.5682715307272753,0.35211397415361223,0.3492276981412721,0.38718800619817023,0.9999999,True,0,5120,5.12,5120,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0512,5.12e-05,0.0,0.0,0.512,0.000512,0.0,0.0,5.12,0.00512,0.0,0.0,51.2,0.0512,0.0,0.0,512.0,0.512,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6196172248803827,1.0,0.3492276981412721,1.0,0.38718800619817023,1.0
