target,holdout,utility_metric,baseline_D,baseline_macro_f1,retention_threshold,required_macro_f1,minimum_D,achieved_macro_f1,achieved_retention,test_accuracy,test_balanced_accuracy,storage_reduction_pct,compression_ratio,normalized_total_cost,cost_reduction_pct
class_label,family_holdout,test_macro_f1,1280,0.9799000964143216,0.95,0.9309050915936055,256,0.9709218551500884,0.9908375952843697,0.9764150943396226,0.9597487638920342,80.0,5.0,0.2,80.0
class_label,family_holdout,test_macro_f1,1280,0.9799000964143216,0.99,0.9701010954501784,256,0.9709218551500884,0.9908375952843697,0.9764150943396226,0.9597487638920342,80.0,5.0,0.2,80.0
class_label,family_holdout,test_macro_f1,1280,0.9799000964143216,0.995,0.97500059593225,512,0.9788749128683153,0.9989537876873799,0.9811320754716981,0.971192728492258,60.0,2.5,0.4,60.0
class_label,fold_holdout,test_macro_f1,1280,0.7599801810802995,0.95,0.7219811720262845,32,0.7690878859721949,1.0119841347427625,0.7855153203342619,0.7520740999356693,97.5,40.0,0.025,97.5
class_label,fold_holdout,test_macro_f1,1280,0.7599801810802995,0.99,0.7523803792694965,32,0.7690878859721949,1.0119841347427625,0.7855153203342619,0.7520740999356693,97.5,40.0,0.025,97.5
class_label,fold_holdout,test_macro_f1,1280,0.7599801810802995,0.995,0.756180280174898,32,0.7690878859721949,1.0119841347427625,0.7855153203342619,0.7520740999356693,97.5,40.0,0.025,97.5
class_label,superfamily_holdout,test_macro_f1,1280,0.8717741099106132,0.95,0.8281854044150825,256,0.8572197513827674,0.983304897034235,0.9027113237639554,0.8215042101880771,80.0,5.0,0.2,80.0
class_label,superfamily_holdout,test_macro_f1,1280,0.8717741099106132,0.99,0.863056368811507,512,0.8767790996081953,1.0057411543204642,0.9218500797448166,0.8385805684978435,60.0,2.5,0.4,60.0
class_label,superfamily_holdout,test_macro_f1,1280,0.8717741099106132,0.995,0.8674152393610601,512,0.8767790996081953,1.0057411543204642,0.9218500797448166,0.8385805684978435,60.0,2.5,0.4,60.0
family_label,family_holdout,test_macro_f1,1280,0.9117578751795508,0.95,0.8661699814205732,256,0.9036030357367779,0.9910559155398938,0.9551886792452831,0.9266454795162965,80.0,5.0,0.2,80.0
family_label,family_holdout,test_macro_f1,1280,0.9117578751795508,0.99,0.9026402964277552,256,0.9036030357367779,0.9910559155398938,0.9551886792452831,0.9266454795162965,80.0,5.0,0.2,80.0
family_label,family_holdout,test_macro_f1,1280,0.9117578751795508,0.995,0.907199085803653,768,0.9094885299414555,0.9975110220598331,0.960691823899371,0.9349788128496298,40.0,1.6666666666666667,0.6,40.0
fold_label,family_holdout,test_macro_f1,1280,0.9497071698855231,0.95,0.9022218113912469,256,0.9251650660913936,0.9741582410111869,0.9716981132075472,0.9390460348755334,80.0,5.0,0.2,80.0
fold_label,family_holdout,test_macro_f1,1280,0.9497071698855231,0.99,0.9402100981866678,512,0.9421810314615624,0.9920753063021859,0.97562893081761,0.952608180107484,60.0,2.5,0.4,60.0
fold_label,family_holdout,test_macro_f1,1280,0.9497071698855231,0.995,0.9449586340360955,768,0.9497071698855231,1.0,0.9795597484276729,0.960265817394751,40.0,1.6666666666666667,0.6,40.0
