target,holdout,retention_threshold,baseline_D,minimum_D,baseline_macro_f1,achieved_macro_f1,achieved_retention,test_accuracy,test_balanced_accuracy,storage_reduction_pct,compression_ratio,normalized_total_cost,cost_reduction_pct
class_label,family_holdout,0.95,1280,256,0.9799000964143216,0.9709218551500884,0.9908375952843697,0.9764150943396226,0.9597487638920342,80.0,5.0,0.2,80.0
class_label,family_holdout,0.99,1280,256,0.9799000964143216,0.9709218551500884,0.9908375952843697,0.9764150943396226,0.9597487638920342,80.0,5.0,0.2,80.0
class_label,family_holdout,0.995,1280,512,0.9799000964143216,0.9788749128683153,0.9989537876873799,0.9811320754716981,0.971192728492258,60.0,2.5,0.4,60.0
class_label,fold_holdout,0.95,1280,32,0.7599801810802995,0.7690878859721949,1.0119841347427625,0.7855153203342619,0.7520740999356693,97.5,40.0,0.025,97.5
class_label,fold_holdout,0.99,1280,32,0.7599801810802995,0.7690878859721949,1.0119841347427625,0.7855153203342619,0.7520740999356693,97.5,40.0,0.025,97.5
class_label,fold_holdout,0.995,1280,32,0.7599801810802995,0.7690878859721949,1.0119841347427625,0.7855153203342619,0.7520740999356693,97.5,40.0,0.025,97.5
class_label,superfamily_holdout,0.95,1280,256,0.8717741099106132,0.8572197513827674,0.983304897034235,0.9027113237639554,0.8215042101880771,80.0,5.0,0.2,80.0
class_label,superfamily_holdout,0.99,1280,512,0.8717741099106132,0.8767790996081953,1.0057411543204642,0.9218500797448166,0.8385805684978435,60.0,2.5,0.4,60.0
class_label,superfamily_holdout,0.995,1280,512,0.8717741099106132,0.8767790996081953,1.0057411543204642,0.9218500797448166,0.8385805684978435,60.0,2.5,0.4,60.0
family_label,family_holdout,0.95,1280,256,0.9117578751795508,0.9036030357367779,0.9910559155398938,0.9551886792452831,0.9266454795162965,80.0,5.0,0.2,80.0
family_label,family_holdout,0.99,1280,256,0.9117578751795508,0.9036030357367779,0.9910559155398938,0.9551886792452831,0.9266454795162965,80.0,5.0,0.2,80.0
family_label,family_holdout,0.995,1280,768,0.9117578751795508,0.9094885299414555,0.9975110220598331,0.960691823899371,0.9349788128496298,40.0,1.6666666666666667,0.6,40.0
fold_label,family_holdout,0.95,1280,256,0.9497071698855231,0.9251650660913936,0.9741582410111869,0.9716981132075472,0.9390460348755334,80.0,5.0,0.2,80.0
fold_label,family_holdout,0.99,1280,512,0.9497071698855231,0.9421810314615624,0.9920753063021859,0.97562893081761,0.952608180107484,60.0,2.5,0.4,60.0
fold_label,family_holdout,0.995,1280,768,0.9497071698855231,0.9497071698855231,1.0,0.9795597484276729,0.960265817394751,40.0,1.6666666666666667,0.6,40.0
fold_label,fold_holdout,0.95,1280,512,0.12888322077953698,0.12620654665243672,0.9792317874203432,0.31058495821727017,0.17545740615593555,60.0,2.5,0.4,60.0
fold_label,fold_holdout,0.99,1280,1024,0.12888322077953698,0.128590138072371,0.99772598244059,0.3161559888579387,0.17778000186088422,19.999999999999996,1.25,0.8,19.999999999999996
fold_label,fold_holdout,0.995,1280,1024,0.12888322077953698,0.128590138072371,0.99772598244059,0.3161559888579387,0.17778000186088422,19.999999999999996,1.25,0.8,19.999999999999996
fold_label,superfamily_holdout,0.95,1280,512,0.3492276981412721,0.3331360322397226,0.9539221373699861,0.6076555023923444,0.3705622032427657,60.0,2.5,0.4,60.0
fold_label,superfamily_holdout,0.99,1280,768,0.3492276981412721,0.3465635346335575,0.992371270887463,0.6172248803827751,0.3848650529083661,40.0,1.6666666666666667,0.6,40.0
fold_label,superfamily_holdout,0.995,1280,1024,0.3492276981412721,0.3490237166462938,0.9994159068823465,0.6188197767145136,0.38688106942714506,19.999999999999996,1.25,0.8,19.999999999999996
superfamily_label,family_holdout,0.95,1280,256,0.9430309214521875,0.914144693851803,0.9693687376062895,0.9685534591194969,0.9386966316758703,80.0,5.0,0.2,80.0
superfamily_label,family_holdout,0.99,1280,512,0.9430309214521875,0.9347997536390392,0.9912715822716895,0.9764150943396226,0.956995706083852,60.0,2.5,0.4,60.0
superfamily_label,family_holdout,0.995,1280,768,0.9430309214521875,0.9430309214521875,1.0,0.9787735849056604,0.9626694649491002,40.0,1.6666666666666667,0.6,40.0
superfamily_label,superfamily_holdout,0.95,1280,768,0.35890545104549487,0.34190355541504336,0.9526284831257791,0.5677830940988836,0.4045555853823851,40.0,1.6666666666666667,0.6,40.0
superfamily_label,superfamily_holdout,0.99,1280,1280,0.35890545104549487,0.35890545104549487,1.0,0.5773524720893142,0.42192482816146387,0.0,1.0,1.0,0.0
superfamily_label,superfamily_holdout,0.995,1280,1280,0.35890545104549487,0.35890545104549487,1.0,0.5773524720893142,0.42192482816146387,0.0,1.0,1.0,0.0
